ID,CMS Title,Content Type,Parsed Show,Episode,Data Source,NEW: SEO Title,NEW: SEO Description,NEW: SEO Heading,NEW: SEO Tags,CURRENT: Description,NEW: Description,CURRENT: Long Desc,NEW: Long Desc,CURRENT: Keywords,NEW: Keywords,CURRENT: Tags,NEW: Content+Personalization Tags,CURRENT: Rating,NEW: Rating
30,Shadows of Tomorrow Trailer,MICRO_DRAMA_TRAILER,Shadows of Tomorrow Trailer,,generated,Shadows of Tomorrow Trailer Trailer | VURT,Watch Shadows of Tomorrow Trailer free on VURT. Vertical micro-drama for your phone.,Shadows of Tomorrow Trailer Trailer,"shadows of tomorrow trailer, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",Trailer,(keep existing),(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"shadows of tomorrow trailer, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"shadows of tomorrow trailer, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
31,pexels-tima-miroshnichenko-7206411.jpg,16x9,Pexels-tima-miroshnichenko-7206411.jpg,,generated,Pexels-tima-miroshnichenko-7206411.jpg | VURT - Watch Free,Watch Pexels-tima-miroshnichenko-7206411.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-tima-miroshnichenko-7206411.jpg,"pexels-tima-miroshnichenko-7206411.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-tima-miroshnichenko-7206411.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-tima-miroshnichenko-7206411.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-tima-miroshnichenko-7206411.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
32,Trailer,MICRO_DRAMA_TRAILER,Trailer,,generated,Trailer Trailer | VURT,Watch Trailer free on VURT. Vertical micro-drama for your phone.,Trailer Trailer,"trailer, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",Trailer,(keep existing),(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"trailer, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"trailer, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
33,pexels-eva-bronzini-7135282.jpg,16x9,Pexels-eva-bronzini-7135282.jpg,,generated,Pexels-eva-bronzini-7135282.jpg | VURT - Watch Free,Watch Pexels-eva-bronzini-7135282.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-eva-bronzini-7135282.jpg,"pexels-eva-bronzini-7135282.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-eva-bronzini-7135282.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-eva-bronzini-7135282.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-eva-bronzini-7135282.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
34,pexels-cottonbro-6962099.jpg,16x9,Pexels-cottonbro-6962099.jpg,,generated,Pexels-cottonbro-6962099.jpg | VURT - Watch Free,Watch Pexels-cottonbro-6962099.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-cottonbro-6962099.jpg,"pexels-cottonbro-6962099.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-cottonbro-6962099.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-cottonbro-6962099.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-cottonbro-6962099.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
35,Ep1,MICRO_EPISODES,,1,generated,Untitled Ep 1 | VURT - Watch Free,Watch Untitled Episode 1 free on VURT. Vertical micro-drama for your phone.,Untitled Episode 1,"untitled, VURT, free streaming, vertical drama, mobile entertainment, episodes, micro-series, watch free",EP1,(keep existing),(empty),Watch Episode 1 free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now ,(empty),"untitled, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"untitled, micro-series, vertical, free streaming, mobile-first, episodes, binge-worthy, short-form",(empty),MA
36,Shadows of Tomorrow EP3,MICRO_EPISODES,Shadows of Tomorrow,3,generated,Shadows of Tomorrow Ep 3 | VURT - Watch Free,Watch Shadows of Tomorrow Episode 3 free on VURT. Vertical micro-drama for your phone.,Shadows of Tomorrow Episode 3,"shadows of tomorrow, VURT, free streaming, vertical drama, mobile entertainment, episodes, micro-series, watch free",Shadows of Tomorrow EP3,(keep existing),(empty),Watch Episode 3 free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now ,(empty),"shadows of tomorrow, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"shadows of tomorrow, micro-series, vertical, free streaming, mobile-first, episodes, binge-worthy, short-form",(empty),MA
37,pexels-tima-miroshnichenko-6011667.jpg,9x16,Pexels-tima-miroshnichenko-6011667.jpg,,generated,Pexels-tima-miroshnichenko-6011667.jpg | VURT - Watch Free,Watch Pexels-tima-miroshnichenko-6011667.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-tima-miroshnichenko-6011667.jpg,"pexels-tima-miroshnichenko-6011667.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-tima-miroshnichenko-6011667.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-tima-miroshnichenko-6011667.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-tima-miroshnichenko-6011667.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
38,pexels-kallydru-35388182.jpg,16x9,Pexels-kallydru-35388182.jpg,,generated,Pexels-kallydru-35388182.jpg | VURT - Watch Free,Watch Pexels-kallydru-35388182.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-kallydru-35388182.jpg,"pexels-kallydru-35388182.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-kallydru-35388182.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-kallydru-35388182.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-kallydru-35388182.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
40,pexels-kallydru-35388182.jpg,9x16,Pexels-kallydru-35388182.jpg,,generated,Pexels-kallydru-35388182.jpg | VURT - Watch Free,Watch Pexels-kallydru-35388182.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-kallydru-35388182.jpg,"pexels-kallydru-35388182.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-kallydru-35388182.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-kallydru-35388182.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-kallydru-35388182.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
41,pexels-kallydru-35388182.jpg,9x16,Pexels-kallydru-35388182.jpg,,generated,Pexels-kallydru-35388182.jpg | VURT - Watch Free,Watch Pexels-kallydru-35388182.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-kallydru-35388182.jpg,"pexels-kallydru-35388182.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-kallydru-35388182.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-kallydru-35388182.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-kallydru-35388182.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
42,Whispers in the Dog,MICRO_SEASON,Whispers in the Dog,,generated,Whispers in the Dog Season 1 | VURT,Watch Whispers in the Dog free on VURT. Vertical micro-drama for your phone.,Whispers in the Dog Season 1,"whispers in the dog, VURT, free streaming, vertical drama, mobile entertainment, full season, micro-series, watch free",,Watch Whispers in the Dog on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"whispers in the dog, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"whispers in the dog, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
43,Whispers in the Dog,MICRO_EPISODES,Whispers in the Dog,,generated,Whispers in the Dog | VURT - Watch Free,Watch Whispers in the Dog free on VURT. Vertical micro-drama for your phone.,Whispers in the Dog,"whispers in the dog, VURT, free streaming, vertical drama, mobile entertainment, episodes, micro-series, watch free",Whispers in the Fog,(keep existing),(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"whispers in the dog, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"whispers in the dog, micro-series, vertical, free streaming, mobile-first, episodes, binge-worthy, short-form",(empty),MA
44,pexels-kallydru-35388182.jpg,9x16,Pexels-kallydru-35388182.jpg,,generated,Pexels-kallydru-35388182.jpg | VURT - Watch Free,Watch Pexels-kallydru-35388182.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-kallydru-35388182.jpg,"pexels-kallydru-35388182.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-kallydru-35388182.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-kallydru-35388182.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-kallydru-35388182.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
45,pexels-ivan-s-8499292.jpg,16x9,Pexels-ivan-s-8499292.jpg,,generated,Pexels-ivan-s-8499292.jpg | VURT - Watch Free,Watch Pexels-ivan-s-8499292.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-ivan-s-8499292.jpg,"pexels-ivan-s-8499292.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-ivan-s-8499292.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-ivan-s-8499292.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-ivan-s-8499292.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
47,pexels-ivan-s-8499292.jpg,9x16,Pexels-ivan-s-8499292.jpg,,generated,Pexels-ivan-s-8499292.jpg | VURT - Watch Free,Watch Pexels-ivan-s-8499292.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-ivan-s-8499292.jpg,"pexels-ivan-s-8499292.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-ivan-s-8499292.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-ivan-s-8499292.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-ivan-s-8499292.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
48,pexels-ivan-s-8499292.jpg,16x9,Pexels-ivan-s-8499292.jpg,,generated,Pexels-ivan-s-8499292.jpg | VURT - Watch Free,Watch Pexels-ivan-s-8499292.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-ivan-s-8499292.jpg,"pexels-ivan-s-8499292.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-ivan-s-8499292.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-ivan-s-8499292.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-ivan-s-8499292.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
49,The Last Melody,MICRO_SEASON,The Last Melody,,generated,The Last Melody Season 1 | VURT,Watch The Last Melody free on VURT. Vertical micro-drama for your phone.,The Last Melody Season 1,"the last melody, VURT, free streaming, vertical drama, mobile entertainment, full season, micro-series, watch free",The Last Melody,(keep existing),(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"the last melody, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"the last melody, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
50,The Last Melody,MICRO_EPISODES,The Last Melody,,generated,The Last Melody | VURT - Watch Free,Watch The Last Melody free on VURT. Vertical micro-drama for your phone.,The Last Melody,"the last melody, VURT, free streaming, vertical drama, mobile entertainment, episodes, micro-series, watch free",EP1,(keep existing),(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"the last melody, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"the last melody, micro-series, vertical, free streaming, mobile-first, episodes, binge-worthy, short-form",(empty),MA
51,pexels-cottonbro-9669089.jpg,9x16,Pexels-cottonbro-9669089.jpg,,generated,Pexels-cottonbro-9669089.jpg | VURT - Watch Free,Watch Pexels-cottonbro-9669089.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-cottonbro-9669089.jpg,"pexels-cottonbro-9669089.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-cottonbro-9669089.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-cottonbro-9669089.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-cottonbro-9669089.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
52,pexels-oskar-gross-1074333632-34192229.jpg,16x9,Pexels-oskar-gross-1074333632-34192229.jpg,,generated,Pexels-oskar-gross-1074333632-34192229.jpg | VURT - Watch Free,Watch Pexels-oskar-gross-1074333632-34192229.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-oskar-gross-1074333632-34192229.jpg,"pexels-oskar-gross-1074333632-34192229.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-oskar-gross-1074333632-34192229.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-oskar-gross-1074333632-34192229.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-oskar-gross-1074333632-34192229.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
54,pexels-oskar-gross-1074333632-34192229.jpg,9x16,Pexels-oskar-gross-1074333632-34192229.jpg,,generated,Pexels-oskar-gross-1074333632-34192229.jpg | VURT - Watch Free,Watch Pexels-oskar-gross-1074333632-34192229.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-oskar-gross-1074333632-34192229.jpg,"pexels-oskar-gross-1074333632-34192229.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-oskar-gross-1074333632-34192229.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-oskar-gross-1074333632-34192229.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-oskar-gross-1074333632-34192229.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
55,pexels-oskar-gross-1074333632-34192229.jpg,16x9,Pexels-oskar-gross-1074333632-34192229.jpg,,generated,Pexels-oskar-gross-1074333632-34192229.jpg | VURT - Watch Free,Watch Pexels-oskar-gross-1074333632-34192229.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-oskar-gross-1074333632-34192229.jpg,"pexels-oskar-gross-1074333632-34192229.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-oskar-gross-1074333632-34192229.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-oskar-gross-1074333632-34192229.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-oskar-gross-1074333632-34192229.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
56,Beyond the Horizon,MICRO_SEASON,Beyond the Horizon,,generated,Beyond the Horizon Season 1 | VURT,Watch Beyond the Horizon free on VURT. Vertical micro-drama for your phone.,Beyond the Horizon Season 1,"beyond the horizon, VURT, free streaming, vertical drama, mobile entertainment, full season, micro-series, watch free",Beyond the Horizon,(keep existing),(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"beyond the horizon, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"beyond the horizon, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
57,Beyond the Horizon,MICRO_EPISODES,Beyond the Horizon,,generated,Beyond the Horizon | VURT - Watch Free,Watch Beyond the Horizon free on VURT. Vertical micro-drama for your phone.,Beyond the Horizon,"beyond the horizon, VURT, free streaming, vertical drama, mobile entertainment, episodes, micro-series, watch free",Beyond the Horizon,(keep existing),(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"beyond the horizon, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"beyond the horizon, micro-series, vertical, free streaming, mobile-first, episodes, binge-worthy, short-form",(empty),MA
58,pexels-eva-zwaan-2091032279-30613248.jpg,9x16,Pexels-eva-zwaan-2091032279-30613248.jpg,,generated,Pexels-eva-zwaan-2091032279-30613248.jpg | VURT - Watch Free,Watch Pexels-eva-zwaan-2091032279-30613248.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-eva-zwaan-2091032279-30613248.jpg,"pexels-eva-zwaan-2091032279-30613248.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-eva-zwaan-2091032279-30613248.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-eva-zwaan-2091032279-30613248.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-eva-zwaan-2091032279-30613248.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
59,Beyond the Horizon,MICRO_DRAMA_TRAILER,Beyond the Horizon,,generated,Beyond the Horizon | VURT - Watch Free,Watch Beyond the Horizon free on VURT. Vertical micro-drama for your phone.,Beyond the Horizon,"beyond the horizon, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Beyond the Horizon on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"beyond the horizon, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"beyond the horizon, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
60,pexels-lileia-mikhailova-1025464630-20420396.jpg,9x16,Pexels-lileia-mikhailova-1025464630-20420396.jpg,,generated,Pexels-lileia-mikhailova-1025464630-20420396.jpg | VURT - Watch Free,Watch Pexels-lileia-mikhailova-1025464630-20420396.jpg free on VURT. Vertical micro-drama for your phone.,Pexels-lileia-mikhailova-1025464630-20420396.jpg,"pexels-lileia-mikhailova-1025464630-20420396.jpg, VURT, free streaming, vertical drama, mobile entertainment, micro-series, watch free, no paywall",,Watch Pexels-lileia-mikhailova-1025464630-20420396.jpg on VURT.,(empty),Watch free on VURT — vertical micro-drama designed for your phone. No paywall. Stream now at myvurt.,(empty),"pexels-lileia-mikhailova-1025464630-20420396.jpg, vurt, free streaming, vertical video, micro drama, mobile streaming",(empty),"pexels-lileia-mikhailova-1025464630-20420396.jpg, micro-series, vertical, free streaming, mobile-first, black-entertainment",(empty),MA
